사업코드,사업구분,사업명,X좌표,Y좌표
JJ2006D001,항만건설,군산항 제2준설토 투기장 축조사업,911402.4916,1773928.975
WJ2005E011,도로의 건설,신림IC~신림 도로 건설공사,1056955.631,1916818.821
GG2010E004,도로의 건설,유구~아산 도로건설공사,953588.8485,1848472.237
DG2009A002,도시의 개발,포항 장성침촌지구 도시개발사업,1169013.648,1789372.062
DG2010B006,산업입지 및 산업단지,포항제철소 제4투기장 조성사업,1172966.037,1783241.678
DG2009B012,산업입지 및 산업단지,외동 구어2 일반산업단지 조성사업,1162686.51,1746275.935
DG2010B002,산업입지 및 산업단지,가흥일반산업단지 조성사업,1097221.24,1870263.635
DG2010B003,산업입지 및 산업단지,(주)삼한C1 공장 증설사업,1071133.596,1833857.387
DG2010B001,산업입지 및 산업단지,구미 국가산업단지 확장단지 조성사업,1083685.405,1795675.157
DG2010D001,항만건설,포항신항 수역시설 증심 준설사업,1174860.054,1783059.043
DG2010B010,산업입지 및 산업단지,영덕농공단지 조성사업,1167243.141,1823222.125
GG2009B011,산업입지 및 산업단지,송산2 일반산업단지 조성사업,928619.6011,1886291.452
DG2009B008,산업입지 및 산업단지,구룡포 일반산업단지 조성사업,1182608.663,1777476.518
DG2009B009,산업입지 및 산업단지,경주 외동 모화일반산업단지 조성사업,1165121.056,1744529.713
HG2009B016,도시의 개발,화성 동탄 물류단지 개발사업,967183.3947,1908061.194
HG2010A003,도시의 개발,평택 청북 첨단물류단지 개발사업,947727.2334,1895785.522
HG2010B001,산업입지 및 산업단지,김포 학운2 일반산업단지,919552.6791,1956354.504
HG2010B010,산업입지 및 산업단지,경기화성 바이오밸리 조성사업,935148.6913,1908226.074
DG2010B012,산업입지 및 산업단지,외동제내일반산업단지 조성사업,1160319.902,1748533.045
GG2007B001,산업입지 및 산업단지,대산 제2일반일반산업단지 조성사업,898414.2819,1888563.142
HG2010A005,도시의 개발,가락시장 시설현대화사업,965659.3788,1943864.49
HG2010A010,도시의 개발,용인 역북지구 도시개발사업,972095.0816,1914886.282
ME2009C001,에너지개발,부천열병합발전소 2호기 증설사업,934950.1602,1947144.874
ME2008A074,도시의 개발,부산.진해경제자유구역 명지지구 개발사업,1128732.101,1679265.447
ME2008A082,도시의 개발,고양지축지구택지개발사업,948716.5605,1961415.301
ME2010A002,도시의 개발,인천구월 보금자리주택지구 조성사업,930384.4233,1938530.447
ME2009A004,도시의 개발,수도권 북부 내륙물류기지 민간투자사업,937473.6917,1982082.678
ME2009C002,에너지개발,태안 IGCC발전소 건설사업,887188.1244,1878623.074
ME2009C003,에너지개발,김천산업단지 집단에너지사업,1056381.756,1795562.68
ME2010A003,도시의 개발,서울항동 보금자리주택지구 조성사업,940034.4125,1942403.416
ME2010A004,도시의 개발,성남 고등 보금자리주택지구 조성사업,964420.1864,1936607.92
ND2010A001,도시의 개발,김해 내덕지구 도시개발사업,1120230.631,1691257.866
ND2010A002,도시의 개발,경남대학교 확장공사,1095777.36,1687804.84
ND2010B004,산업입지 및 산업단지,양산 덕계매곡일반산업단지 조성사업,1150418.191,1709044.562
ND2009B019,산업입지 및 산업단지,통영 법송일반산업단지 조성사업,1079512.284,1656423.695
ND2009B023,산업입지 및 산업단지,사천 장전일반산업단지,1058583.209,1677940.694
ND2009A007,도시의 개발,동삼하리지구 도시개발사업,1144340.56,1676042.75
ND2009A005,도시의 개발,매곡중산지구 도시개발사업,1167896.684,1740931.619
ND2009A008,도시의 개발,신진주 역세권 도시개발사업,1055908.893,1684264.546
ND2009B026,산업입지 및 산업단지,고성 율대일반산업단지 조성사업,1077571.002,1663356.239
ND2009B028,산업입지 및 산업단지,거창승강기 전문농공단지 조성사업,1038084.52,1740015.648
ND2009B029,산업입지 및 산업단지,내산일반산업단지 조성사업,1089096.313,1673292.834
ND2009D004,항만건설,대항마을 어촌관광단지 조성사업,1121028.344,1669228.289
WJ2009B002,산업입지 및 산업단지,삼척방재 일반산업단지 조성사업,1155352.195,1928888.469
WJ2009B006,산업입지 및 산업단지,충주녹색패션산업단지 지정 및 개발계획,1028540.413,1897644.998
ND2010B012,산업입지 및 산업단지,창녕 넥센일반산업단지 조성사업,1084907.538,1737041.035
ND2009B022,산업입지 및 산업단지,사다일반산업단지 조성사업,1052094.844,1680382.344
WJ2009B005,산업입지 및 산업단지,충주 제4산업단지 조성사업,1038999.282,1890048.063
WJ2009B010,산업입지 및 산업단지,철원플라즈마 일반산업단지 조성사업,996424.7786,2028614.576
ND2010B011,산업입지 및 산업단지,창녕 송진농공단지 조성사업,1092111.668,1713874.2
WJ2009B011,산업입지 및 산업단지,충주테크원씨티산업단지 산업계획승인,1022610.71,1890650.073
ND2009B024,산업입지 및 산업단지,기장대우 일반산업단지,1160320.196,1709140.809
WJ2007B003,산업입지 및 산업단지,감곡산업단지 조성사업,1013782.889,1903294.954
WJ2009B007,산업입지 및 산업단지,괴산 발효식품농공단지 조성사업,1028839.552,1871348.623
ND2009B010,산업입지 및 산업단지,군북일반산업단지 조성사업,1074399.368,1699845.844
GG2010B005,산업입지 및 산업단지,둔포일반산업단지,960939.0299,1878414.631
WJ2010B006,산업입지 및 산업단지,괴산 유기식품 산업단지 조성사업,1032622.022,1863376.006
WJ2010B001,산업입지 및 산업단지,삼척 종합발전 일반산업단지 개발사업,1163285.838,1911268.331
GG2010A002,도시의 개발,부여군 고령친화모델지역 시범사업,945370.1652,1811910.552
YS2006A004,도시의 개발,광주 하남3지구 도시 개발사업,936297.9653,1687771.092
YS2006A005,도시의 개발,광주선운지구 택지개발사업,934022.6,1683902.51
GG2010D003,항만건설,지방어항(몽산포항)개발계획,890217.3684,1853189.572
YS2008A004,도시의 개발,전라남도 광양시 광양읍 초남리608-1번지 일원,1009716.594,1660846.715
DG2009B005,산업입지 및 산업단지,경상북도 상주시 함창읍 오동리 일원,1062158.571,1840766.359
GG2010B012,산업입지 및 산업단지,명학일반산업단지 조성사업,984951.6148,1838315.761
GG2010B014,산업입지 및 산업단지,합덕인더스파크 일반산업단지,932852.4096,1865779.583
ND2009B007,산업입지 및 산업단지,경상남도 진해시 원포동,1110224.829,1679683.769
JJ2006B005,산업입지 및 산업단지,전의 2일반지방산업단지 조성사업,974665.0569,1855897.454
DG2008A002,도시의 개발,포항 이인지구 도시개발사업,1165215.687,1787673.544
ND2009A006,도시의 개발,울산광역시 울주군 언양읍 송대리산 17-4번지 일원,1147046.961,1732600.161
GG2008A003,도시의 개발,석봉동도시개발사업,992921.0374,1828264.828
HG2008B003,산업입지 및 산업단지,평택 포승(2) 일반산업단지 조성사업,942775.6873,1885629.19
HG2009B012,산업입지 및 산업단지,반월특수지역개발구역 중 송산그린시티 개발계획,932917.1651,1918747.219
ME2007A177,도시의 개발,천안신월지구 국민임대주택단지 조성사업,969146.3212,1875079.704
WJ2008B004,산업입지 및 산업단지,동해 송정 일반산업단지 조성사업,1143104.77,1944398.754
YS2007A003,도시의 개발,제주 아라지구 도시개발사업,911325.2776,1498325.972
YS2007D001,항만건설,목포항 진입항로 준설사업,894069.3104,1642729.329
HG2007A018,도시의 개발,김포 신곡6지구 도시개발 사업,934656.1059,1955150.674
DG2009B010,산업입지 및 산업단지,봉룡일반산업단지 조성사업,1057067.001,1856733.616
DG2008B006,산업입지 및 산업단지,영천 고경일반산업단지 조성사업,1137672.741,1778403.642
GG2010A005,도시의 개발,천안북부지구 도시개발사업,973192.9366,1876637.717
GG2010B004,산업입지 및 산업단지,남부(웅천)일반산업단지,916684.3417,1805335.471
GG2010B011,산업입지 및 산업단지,문백(정밀기계)일반산업단지,996430.5087,1865173.21
GG2010B015,도시의 개발,영보화학(주) 공장부지 증설사업,986188.8848,1842782.331
ND2008B022,산업입지 및 산업단지,봉암일반산업단지조성사업,1084444.096,1667113.924
DG2009B004,산업입지 및 산업단지,경상북도 상주시 화서면 상용리 일원,1039112.413,1827452.991
DG2009B013,산업입지 및 산업단지,경상북도 포항시 북구 흥해읍용한리,1172628.113,1792827.063
ND2009B002,산업입지 및 산업단지,경상남도 사천시 사천읍구암리 산48-1,1056942.915,1677255.764
GG2009B005,산업입지 및 산업단지,충청남도 서천군 종천면석촌리 산40번지,928270.1507,1791104.254
ME2007A210,도시의 개발,인천국제공항 Water Park 개발사업에 따른 경정훈련원 건립공사,905981.3275,1936898.371
ME2007C004,에너지개발,인천LNG복합화력후속기 건설사업,921028.8026,1946169.382
ME2007D002,항만건설,고대지구 동국제강㈜ 전용부두 개발사업,935040.4891,1886947.54
ME2008C005,에너지개발,포스코파워 광양부생복합발전소 건설사업,1021858.59,1657341.027
YS2008D003,항만건설,전라남도 광양시 금호동광양제철소 원료부두 및 CTS 반출부두 남측해상,1023631.174,1655962.521
GG2009B001,산업입지 및 산업단지,충청남도 공주시 검상동봉정동 일원,961822.4731,1826202.261
HG2009B002,산업입지 및 산업단지,경기도 화성시 동탄면오산리 일원,963443.1006,1908258.095
ND2007D006,항만건설,울산항 염포부두 축조공사,1171907.536,1726043.861
YS2007B002,산업입지 및 산업단지,화순지방산업단지 조성사업,951402.6612,1670944.174
ND2008B013,산업입지 및 산업단지,길천일반산업단지(2차) 조성사업,1143086.575,1734540.09
DG2009B003,산업입지 및 산업단지,신기제2일반산업단지 조성사업,1061000.012,1849438.188
DG2009B001,산업입지 및 산업단지,문경 산양제2농공단지 조성사업,1065309.823,1845926.177
DG2009B006,산업입지 및 산업단지,강동일반산업단지 조성사업,1163026.256,1775262.311
HG2009B009,산업입지 및 산업단지,파주 법원 2 일반산업단지,943644.7298,1982842.169
ND2009B008,산업입지 및 산업단지,경상남도 사천시 곤양면흥사리 산 117,1046517.538,1679024.388
DG2009B011,산업입지 및 산업단지,경상북도 봉화군 봉화읍유곡리 산13-4번지 일원,1112636.209,1878610.455
DG2009B014,산업입지 및 산업단지,"경상북도 포항시 남구 오천읍 광명리, 용산리 일원",1173052.207,1773477.672
GG2008D001,항만건설,보령항 항로준설 사업,909965.5331,1822832.909
DG2009D003,항만건설,삼정항 시설공사,1186905.495,1780459.881
ND2008A007,도시의 개발,진해웅천묘지공원 조성계획변경 및 실시계획,1112126.474,1679554.138
GG2007B003,산업입지 및 산업단지,보은국가산업단지 부지증설 환경영향평가(재협의),1011856.02,1841147.443
HG2009A006,도시의 개발,평택 세교지구 도시개발사업,963352.5236,1890102.552
YS2008C001,에너지개발,거금 에너지테마파크 조성사업,967020.0077,1605601.391
GG2006B003,산업입지 및 산업단지,도고농공단지 조성사업 환경영향평가,944041.1811,1862101.194
DG2008B007,산업입지 및 산업단지,성주일반산업단지 조성사업,1071172.046,1771256.49
ME2009A014,도시의 개발,서울 서초 보금자리주택 조성사업,957483.3654,1939958.771
HG2009B007,산업입지 및 산업단지,안성 제4일반산업단지 조성사업,977962.7302,1883930.823
GG2009A002,도시의 개발,대전 평촌지구 도시개발사업,994217.5746,1826699.651
JJ2008B008,산업입지 및 산업단지,익산 금마농공단지 조성사업,960662.8053,1776586.442
HG2009A007,도시의 개발,평택 현촌지구 도시개발사업,967235.5187,1888975.574
HG2009A008,도시의 개발,권선지구 도시개발사업,957766.1962,1916020.495
GG2008B008,산업입지 및 산업단지,대한전선(주)공장부지 조성사업,920282.5031,1884787.606
ME2009A012,도시의 개발,서울강남 보금자리주택 조성사업,964297.2484,1941362.481
GG2008B006,산업입지 및 산업단지,논산제2일반산업단지 조성사업,959113.202,1802305.192
ME2009A038,도시의 개발,서울 세곡2 보금자리 주택지구 조성사업,965229.6251,1941877.143
JJ2008B004,산업입지 및 산업단지,익산 일반산업단지 조성사업,954410.6595,1782688.002
ME2007B008,산업입지 및 산업단지,파주 신촌 지방산업단지 조성사업,929059.0496,1970339.234
YS2007B005,산업입지 및 산업단지,청계 2농공단지 조성사업,902434.7961,1661162.841
ME2009A008,도시의 개발,충청남도 천안시 성환읍 성환리 성월리 일원,967115.8665,1880682.154
GG2005A011,도시의 개발,청주율량지구택지개발사업,1000012.114,1852124.188
ME2006A003,도시의 개발,평택 안중 송담지구 토지구획정리사업,949343.6368,1887091.525
GG2008B002,산업입지 및 산업단지,서산테크노밸리 조성사업,906551.0707,1870496.156
HG2009B010,산업입지 및 산업단지,양주 홍죽 일반산업단지 조성사업,952605.5479,1978077.33
JJ2007B001,산업입지 및 산업단지,흥덕농공단지 조성사업,926578.0107,1724962.862
GG2008A009,도시의 개발,당진 송악지구 도시개발사업,928157.3038,1878347.278
ME2008A084,도시의 개발,국립해양생물자원관 건립사업,925208.642,1780445.936
ME2009A040,도시의 개발,구리갈매 보금자리주택지구 조성사업,966385.2014,1959222.917
JJ2009B001,산업입지 및 산업단지,태인오봉농공단지 조성사업,949199.4938,1741159.708
ME2007A219,도시의 개발,계룡대실지구 도시개발사업,977974.7549,1806993.83
HG2008A005,도시의 개발,"평택 모산,영신지구 도시개발사업",963471.8278,1891125.691
HG2009B008,산업입지 및 산업단지,파주 법원 1 일반산업단지,945126.4343,1982833.457
ME2007A208,도시의 개발,화성 남양뉴타운 도시개발사업,940515.0187,1912207.621
GG2007A007,도시의 개발,당진우두지구택지개발사업,922462.8654,1878829.188
GG2008B012,산업입지 및 산업단지,풍세지방산업단지 조성사업,964471.2065,1858871.969
JJ2005E006,도로의 건설,진안~성수간 도로공사,990225.6025,1746157.921
ME2006E007,도로의 건설,춘천~양양간 고속도로(동홍천~인제간) 건설사업,1056359.642,1978467.598
WJ2007E001,도로의 건설,왕산~성산 국도개량공사,1117663.608,1965353.222
YS2007E002,도로의 건설,장흥-유치 도로확포장공사,944912.4212,1637844.724
ME2007E010,도로의 건설,제2외곽순환(인천~김포) 고속도로 민간투자사업,922302.9446,1951467.609
HG2007E009,도로의 건설,포곡-양지 도시고속화도로 민간투자사업,979865.3163,1917046.164
ND2007E004,도로의 건설,내서~칠원 국도건설공사,1093643.64,1699468.157
YS2004E006,도로의 건설,조천우회도로(신촌~함덕) 건설공사,920377.1271,1504312.77
YS2006E007,도로의 건설,일로-몽탄간 도로확장공사,910693.316,1654117.601
DG2007E003,도로의 건설,포항 흥해-기계 국도건설공사,1156426.656,1786264.187
ME2007E008,도로의 건설,제2영동(서울~원주)고속도로 민간투자사업 (광주-원주)(제4공구),1011098.664,1932044.085
ND2008E002,도로의 건설,창원-부산간 도로 민간투자사업,1114791.334,1687326.033
YS2008E010,도로의 건설,낙안~상사 국가지원지방도 건설공사,991077.7258,1658348.382
ME2008E003,도로의 건설,영천~상주고속도로 민간투자사업,1102492.971,1794645.217
ND2008E003,도로의 건설,울산국가산업단지(용연-청량IC)연결도로 도시관리계획 결정(변경),1164555.387,1721682.731
ND2007E008,도로의 건설,부산시계~무거 국도건설공사,1153147.283,1714999.828
HG2008E008,도로의 건설,발안~조암간 도로 확포장공사,942303.6574,1900219.71
HG2008E009,도로의 건설,파주신도시 서측우회도로 기본 및 실시설계,931524.454,1972685.501
HG2008E012,도로의 건설,진건~오남간 도로 확포장공사,972469.6055,1964518.909
HG2008E010,도로의 건설,서수원~의왕간 고속화도로민간제안사업,953500.3601,1926307.614
HG2009E004,도로의 건설,대2-16호선 건설사업 환경영향평가서(재협의)본안,936573.2767,1932606.49
HG2008E011,도로의 건설,신지~본두간(농도102호) 도로 확포장공사,1007276.237,1920212.543
HG2008E007,도로의 건설,평택호 ~ 진위천간 인라인 및 보행자 순환도로개설공사,953829.4772,1885730.749
ME2008E008,도로의 건설,상주-영덕(청송-영덕간)고속도로 건설사업,1150416.77,1828739.624
ME2008E007,도로의 건설,상주-영덕(의성-청송간)고속도로 건설사업,1116724.153,1826376.589
ME2010E001,도로의 건설,부산외곽순환 고속도로 건설사업,1134416.118,1699940.12
HG2008E005,도로의 건설,도하-덕계간 도로개설 민간투자사업,958512.2801,1981413.664
YS2009E001,도로의 건설,영산강 강변도로 개설공사,910763.064,1646642.653
ME2009E003,도로의 건설,함양~울산(함양~합천간) 고속도로 건설사업,1040199.113,1729370.852
DG2010E005,도로의 건설,국가지원지방도 32호선(농암~산양)건설공사,1053649.837,1841374.61
ME2009E004,도로의 건설,함양~울산(합천~창녕간) 고속도로 건설사업,1069288.616,1722855.702
DG2012E002,도로의 건설,구미국가 제5산업단지 진입도로 개설공사(2공구),1084219.054,1797210.024
WJ2011E001,도로의 건설,백복령~달방댐 도로건설공사,1128747.81,1949160.242
ME2011E006,도로의 건설,서울-문산 고속도로 민간투자사업,939799.6201,1967699.367
ND2014E002,도로의 건설,한내-덕곡간 도로 확포장공사,1083496.986,1671713.927
ME2013E003,도로의 건설,수도권 제2순환고속도로(화도-양평) 건설사업,988452.6445,1952487.825
WJ2016E001,도로의 건설,단양~영월 도로건설공사,1079620.007,1904814.148
ME2015E002,도로의 건설,이천~오산 고속도로 민간투자사업,974692.551,1917270.816
ME2014E001,도로의 건설,동해고속도로(포항~영덕간) 건설사업,1167781.833,1806666.305
HG2007A003,도시의 개발,광교지구 택지개발사업,960965.5446,1921505.91
ME2007A160,도시의 개발,행정중심 복합도시건설사업,980601.5254,1834385.638
ME2007A163,도시의 개발,울산혁신도시 개발사업(울산우정택지개발사업),1165006.801,1732015.798
ME2007A168,도시의 개발,김포한강신도시 택지개발사업 (구. 김포양촌지구 택지개발사업),925908.1592,1961055.135
ME2007A195,도시의 개발,시흥장현 공공주택지구(구.시흥 장현지구 택지개발사업),937931.2774,1931028.164
ME2007A123,도시의 개발,태안 관광·레저형 기업도시,895733.5316,1855706.588
ME2007A204,도시의 개발,인천서창2지구 택지개발사업,933652.3918,1936582.275
ME2008A077,도시의 개발,육군학생중앙군사학교 이전사업,1027139.82,1870626.663
GG2008A004,도시의 개발,경호안전교육원건립사업,960386.3547,1836768.322
ME2007A205,도시의 개발,동해고속도로(주문진~속초간) 건설사업 5공구,1094887.639,2016458.206
ME2007B007,도시의 개발,"인천 경제자유구역 송도지구 개발사업(5,7공구)(재협의)",924519.1412,1931985.742
GG2008A002,도시의 개발,청주 율량2지구 택지개발사업,1000010.23,1852163.774
ME2007A164,도시의 개발,위례지구 택지개발사업(송파거여지구 택지개발사업),968697.2561,1941929.295
ME2007A198,도시의 개발,아산탕정 택지개발사업,962850.722,1867680.102
JJ2007A003,도시의 개발,군산 신역세권 택지개발사업,932962.52,1778184.689
GG2009A004,도시의 개발,서천 마서지구 도시개발사업(국립생태원),929815.673,1782151.972
ME2009A013,도시의 개발,하남미사 보금자리주택지구 개발사업,972546.374,1951726.126
WJ2007A004,도시의 개발,춘천우두지구 택지개발사업,1020494.471,1989905.071
YS2008A008,도시의 개발,광양만권 경제자유구역 하동지구(갈사만 매립지 및 매립배후지) 조성사업,1027427.872,1660712.66
ME2009A042,도시의 개발,부천옥길 보금자리주택지구 조성사업,939891.27,1940816.03
ND2008A009,도시의 개발,마산해양신도시 건설사업,1097517.959,1687721.179
ME2009A043,도시의 개발,남양주 다산진건 공공주택지구 조성사업(구.남양주진건 보금자리주택지구 조성사업),969445.2338,1958208.132
ME2009A041,도시의 개발,시흥은계 보금자리주택지구 조성사업,938266.7009,1938226.261
ME2010A006,도시의 개발,광명 시흥 보금자리주택지구 조성사업,942078.3637,1937301.031
HG2008A001,도시의 개발,고덕국제화계획지구 택지개발사업,958519.6664,1894322.149
ME2008A078,도시의 개발,화성동탄(2)택지개발사업,965447.066,1909836.267
JJ2010A001,도시의 개발,군산 미장지구 도시개발사업,930567.1176,1774361.187
HG2007A016,도시의 개발,안성 아양지구(안성뉴타운) 택지개발사업,978220.5704,1889811.779
ME2009A044,도시의 개발,남양주 다산지금 공공주택지구(구.남양주 지금 보금자리주택지구 조성사업),970886.4318,1956445.865
ND2009A002,도시의 개발,부산 장안지구 택지개발사업,1157833.676,1704491.132
ND2012A003,도시의 개발,농소공공하수처리시설 민간투자사업,1167068.701,1736731.281
ME2011A004,도시의 개발,과천지식정보타운 보금자리주택지구 조성사업,954248.4082,1934931.132
ME2008A081,도시의 개발,파주운정3지구 택지개발사업,931961.0364,1969920.766
ND2007A007,도시의 개발,김해 율하2지구 택지개발사업,1120838.239,1686641.813
JJ2013A001,도시의 개발,전주 00부대이전부지 도시개발사업,966505.6133,1764425.038
ME2009A007,도시의 개발,화성 비봉지구 공공주택지구 조성사업,944151.4276,1916643.681
ND2014A002,도시의 개발,울산과학기술대학교 건설사업(재협의),1153066.493,1731937.278
ND2014A006,도시의 개발,내곡지구 도시개발사업,1097897.301,1705705.896
ME2014A002,도시의 개발,하남미사 공공주택지구 조성사업,970872.4128,1947641.173
DG2014A001,도시의 개발,보문천군지구 도시개발사업,1161347.115,1758777.689
ME2015A013,도시의 개발,화성동탄(2)지구 택지개발사업(재협의),965156.8108,1910000.175
HG2007B002,산업입지 및 산업단지,파주월롱 첨단일반산업단지,936578.9067,1981939.95
DG2007B002,산업입지 및 산업단지,대구테크노폴리스 지방산업단지 조성사업,1086977.734,1743974.728
GG2007B004,산업입지 및 산업단지,합덕일반지방산업단지조성사업,932681.7021,1868818.276
ND2008B030,산업입지 및 산업단지,안정국가산업단지 개발사업(재협의),1084826.036,1663788.08
YS2007B001,산업입지 및 산업단지,광양항 서측배후단지 조성공사,1013356.393,1656464.693
ND2007B011,산업입지 및 산업단지,"고성 조선산업단지 조성사업(양촌,용정지구)",1089793.081,1671280.173
ND2007B003,산업입지 및 산업단지,울산.미포국가산업단지(효문공단) 공장용지 조성사업,1169351.011,1732071.791
JJ2008B002,산업입지 및 산업단지,전주친환경첨단복합단지 조성,962742.2487,1762544.149
GG2008B005,산업입지 및 산업단지,오창제2산업단지 조성사업,995360.189,1859435.973
GG2008B009,산업입지 및 산업단지,천안제3산업단지 조성사업(재협의),964925.7953,1871756.782
YS2008B004,산업입지 및 산업단지,광주진곡 일반산업단지 조성사업,935055.4798,1689977.586
HG2007B005,산업입지 및 산업단지,검단일반지방산업단지,921518.9577,1955112.959
ND2008B014,산업입지 및 산업단지,안의제2농공단지 조성사업,1029784.275,1736606.635
ME2008B004,산업입지 및 산업단지,이화일반산업단지 조성사업,1167450.409,1743125.072
GG2007B002,산업입지 및 산업단지,석문국가산업단지 개발사업,918701.7509,1890213.392
JJ2008B007,산업입지 및 산업단지,김제 지평선 일반산업단지 조성사업 (분할이 잘못됨 전체 PDF 봐야함),943666.5373,1761332.066
GG2007B006,산업입지 및 산업단지,대덕연구개발특구 1단계 개발사업,986149.9113,1820627.731
GG2008B001,산업입지 및 산업단지,탄천일반산업단지 조성사업,960583.836,1811724.977
ND2008B009,산업입지 및 산업단지,울산 High Tech Valley 조성사업,1144291.794,1726205.844
ND2008B007,산업입지 및 산업단지,산막일반산업단지 조성사업,1142008.804,1709417.552
GG2008B004,산업입지 및 산업단지,송산일반산업단지(재협의),928436.8243,1888041.766
JJ2009B003,산업입지 및 산업단지,부안 제2 농공단지 조성사업,929834.3046,1749088.4
YS2009B005,산업입지 및 산업단지,대양일반산업단지 조성사업,899276.874,1649378.774
HG2008B004,산업입지 및 산업단지,평택 고덕국제화계획지구 일반산업단지,960467.4094,1892749.608
ND2009B017,산업입지 및 산업단지,명례일반산업단지 조성사업,1159478.067,1709707.878
ND2009B009,산업입지 및 산업단지,안정일반산업단지 조성사업,1084913.547,1660882.572
DG2009L001,산업입지 및 산업단지,영양풍력발전단지 건설사업,1155246.527,1842634.12
ND2009B015,산업입지 및 산업단지,춘화농공단지 조성사업,1111174.095,1726686.085
ND2009B016,산업입지 및 산업단지,석강 제2농공단지조성사업,1048009.293,1743335.467
ME2009B001,산업입지 및 산업단지,대구사이언스파크 개발사업,1082621.037,1739291.177
GG2008B010,산업입지 및 산업단지,진천산업단지 조성사업(신척),998703.5743,1880472.882
ME2009B002,산업입지 및 산업단지,구미 하이테크밸리 개발사업(5산단),1082748.548,1800282.081
ND2008B017,산업입지 및 산업단지,울산 KCC일반산업단지 조성사업,1152913.172,1745934.702
ND2008B019,산업입지 및 산업단지,"석대1,2지구 도시첨단산업단지 조성사업",1147673.974,1693544.283
GG2008B014,산업입지 및 산업단지,영동일반산업단지 조성사업,1028034.068,1810376.998
GG2008B015,산업입지 및 산업단지,청산산업단지 조성사업,1026259.174,1814895.778
ND2008B015,산업입지 및 산업단지,온산국가산업단지 강양ㆍ우봉 1ㆍ2지구 조성사업,1167791.787,1713693.933
ND2009B001,산업입지 및 산업단지,두동 일반산업단지 조성사업,1154489.965,1747264.213
DG2009B007,산업입지 및 산업단지,대구출판산업단지 개발사업,1092500.587,1760604.166
ND2008B028,산업입지 및 산업단지,수정일반산업단지 조성사업,1098835.277,1680853.087
GG2008B007,산업입지 및 산업단지,천안제5일반산업단지 조성사업,978408.2786,1860183.072
HG2009B001,산업입지 및 산업단지,덕포일반산업단지 조성사업,1085124.87,1659279.479
HG2009B003,산업입지 및 산업단지,전곡해양산업단지(화성 해양복합 산업단지 조성사업),926410.013,1910230.521
ND2009B013,산업입지 및 산업단지,함안 부목일반산업단지 조성사업,1087851.176,1707331.623
ND2009B018,산업입지 및 산업단지,칠서 태곡일반산업단지 조성사업,1088783.238,1706396.122
ND2009B004,산업입지 및 산업단지,밀양 하남일반산업단지 조성사업,1110993.55,1710864.853
ND2010B001,산업입지 및 산업단지,장기일반산업단지 조성사업,1083476.275,1671867.232
